proteinID	Result_Value	Result_Type	Dose	DoseUnit	Repeat	ProjectName	ExperimentName	SampleGroup	SampleName
Protein_31	9263.9	Intensity	1000	nM	R1	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_1000nM_R1
Protein_31	10858	Intensity	0	nM	R1	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_0nM_R1
Protein_31	12724	Intensity	10000	nM	R2	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_10000nM_R2
Protein_31	11645	Intensity	1000	nM	R2	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_1000nM_R2
Protein_31	9734.4	Intensity	0	nM	R2	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_0nM_R2
Protein_32	38553	Intensity	10000	nM	R1	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_10000nM_R1
Protein_32	31453	Intensity	1000	nM	R1	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_1000nM_R1
Protein_32	41887	Intensity	0	nM	R1	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_0nM_R1
Protein_32	31784	Intensity	10000	nM	R2	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_10000nM_R2
Protein_32	32126	Intensity	1000	nM	R2	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_1000nM_R2
Protein_32	40197	Intensity	0	nM	R2	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_0nM_R2
Protein_33	169.05	Intensity	10000	nM	R1	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_10000nM_R1
Protein_33	186.7	Intensity	0	nM	R1	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_0nM_R1
Protein_34	3385.8	Intensity	10000	nM	R1	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_10000nM_R1
Protein_34	1838	Intensity	1000	nM	R1	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_1000nM_R1
Protein_34	2205	Intensity	0	nM	R1	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_0nM_R1
Protein_34	3658.7	Intensity	10000	nM	R2	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_10000nM_R2
Protein_34	3024.4	Intensity	1000	nM	R2	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_1000nM_R2
Protein_34	2317.4	Intensity	0	nM	R2	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_0nM_R2
Protein_35	2653.6	Intensity	10000	nM	R1	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_10000nM_R1
Protein_35	1740.4	Intensity	1000	nM	R1	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_1000nM_R1
Protein_35	1688.3	Intensity	0	nM	R1	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_0nM_R1
Protein_35	1826	Intensity	10000	nM	R2	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_10000nM_R2
Protein_35	1212.4	Intensity	1000	nM	R2	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_1000nM_R2
Protein_35	1668.1	Intensity	0	nM	R2	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_0nM_R2
Protein_36	5419.6	Intensity	10000	nM	R1	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_10000nM_R1
Protein_36	3753.6	Intensity	1000	nM	R1	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_1000nM_R1
Protein_36	3850.8	Intensity	0	nM	R1	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_0nM_R1
Protein_36	5061.9	Intensity	10000	nM	R2	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_10000nM_R2
Protein_36	4230.7	Intensity	1000	nM	R2	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_1000nM_R2
Protein_36	4164	Intensity	0	nM	R2	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_0nM_R2
Protein_37	541.03	Intensity	10000	nM	R1	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_10000nM_R1
Protein_37	385.03	Intensity	1000	nM	R1	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_1000nM_R1
Protein_37	407.9	Intensity	0	nM	R1	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_0nM_R1
Protein_37	450.59	Intensity	10000	nM	R2	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_10000nM_R2
Protein_37	395.72	Intensity	1000	nM	R2	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_1000nM_R2
Protein_37	170.71	Intensity	0	nM	R2	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_0nM_R2
Protein_38	37423	Intensity	10000	nM	R1	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_10000nM_R1
Protein_38	17341	Intensity	1000	nM	R1	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_1000nM_R1
Protein_38	16600	Intensity	0	nM	R1	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_0nM_R1
Protein_38	32835	Intensity	10000	nM	R2	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_10000nM_R2
Protein_38	22338	Intensity	1000	nM	R2	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_1000nM_R2
Protein_38	14804	Intensity	0	nM	R2	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_0nM_R2
Protein_39	11416	Intensity	10000	nM	R1	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_10000nM_R1
Protein_39	5686.3	Intensity	1000	nM	R1	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_1000nM_R1
Protein_39	6685.6	Intensity	0	nM	R1	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_0nM_R1
Protein_39	10044	Intensity	10000	nM	R2	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_10000nM_R2
Protein_39	7036.7	Intensity	1000	nM	R2	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_1000nM_R2
Protein_39	6378.8	Intensity	0	nM	R2	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_0nM_R2
Protein_40	1375.9	Intensity	10000	nM	R1	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_10000nM_R1
Protein_40	853.17	Intensity	1000	nM	R1	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_1000nM_R1
Protein_40	1002.7	Intensity	0	nM	R1	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_0nM_R1
Protein_40	1220	Intensity	10000	nM	R2	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_10000nM_R2
Protein_40	957.48	Intensity	1000	nM	R2	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_1000nM_R2
