proteinID	Result_Value	Result_Type	Dose	DoseUnit	Repeat	ProjectName	ExperimentName	SampleGroup	SampleName
Protein_119	383.55	Intensity	1000	nM	R1	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_1000nM_R1
Protein_119	296.77	Intensity	0	nM	R1	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_0nM_R1
Protein_119	439.66	Intensity	10000	nM	R2	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_10000nM_R2
Protein_119	359.57	Intensity	1000	nM	R2	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_1000nM_R2
Protein_119	368.45	Intensity	0	nM	R2	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_0nM_R2
Protein_120	32598	Intensity	10000	nM	R1	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_10000nM_R1
Protein_120	22492	Intensity	1000	nM	R1	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_1000nM_R1
Protein_120	23954	Intensity	0	nM	R1	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_0nM_R1
Protein_120	27029	Intensity	10000	nM	R2	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_10000nM_R2
Protein_120	23637	Intensity	1000	nM	R2	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_1000nM_R2
Protein_120	22231	Intensity	0	nM	R2	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_0nM_R2
Protein_121	6995.8	Intensity	10000	nM	R1	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_10000nM_R1
Protein_121	3810.8	Intensity	1000	nM	R1	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_1000nM_R1
Protein_121	4751.6	Intensity	0	nM	R1	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_0nM_R1
Protein_121	6559.3	Intensity	10000	nM	R2	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_10000nM_R2
Protein_121	5199.3	Intensity	1000	nM	R2	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_1000nM_R2
Protein_121	4604.7	Intensity	0	nM	R2	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_0nM_R2
Protein_122	1878	Intensity	10000	nM	R1	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_10000nM_R1
Protein_122	1028.1	Intensity	1000	nM	R1	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_1000nM_R1
Protein_122	1179.6	Intensity	0	nM	R1	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_0nM_R1
Protein_122	1636.6	Intensity	10000	nM	R2	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_10000nM_R2
Protein_122	1397.7	Intensity	1000	nM	R2	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_1000nM_R2
Protein_122	827.25	Intensity	0	nM	R2	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_0nM_R2
Protein_123	6985.4	Intensity	10000	nM	R1	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_10000nM_R1
Protein_123	3288.3	Intensity	1000	nM	R1	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_1000nM_R1
Protein_123	3421.6	Intensity	0	nM	R1	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_0nM_R1
Protein_123	5636.6	Intensity	10000	nM	R2	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_10000nM_R2
Protein_123	4111.8	Intensity	1000	nM	R2	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_1000nM_R2
Protein_123	3140.8	Intensity	0	nM	R2	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_0nM_R2
Protein_124	3178.3	Intensity	10000	nM	R1	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_10000nM_R1
Protein_124	2500.7	Intensity	1000	nM	R1	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_1000nM_R1
Protein_124	2426.8	Intensity	0	nM	R1	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_0nM_R1
Protein_124	3190.5	Intensity	10000	nM	R2	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_10000nM_R2
Protein_124	2699.2	Intensity	1000	nM	R2	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_1000nM_R2
Protein_124	2622.5	Intensity	0	nM	R2	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_0nM_R2
Protein_125	11764	Intensity	10000	nM	R1	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_10000nM_R1
Protein_125	7202.7	Intensity	1000	nM	R1	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_1000nM_R1
Protein_125	8582	Intensity	0	nM	R1	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_0nM_R1
Protein_125	9436.2	Intensity	10000	nM	R2	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_10000nM_R2
Protein_125	9171.5	Intensity	1000	nM	R2	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_1000nM_R2
Protein_125	8218.7	Intensity	0	nM	R2	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_0nM_R2
Protein_126	20279	Intensity	10000	nM	R1	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_10000nM_R1
Protein_126	15265	Intensity	1000	nM	R1	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_1000nM_R1
Protein_126	16077	Intensity	0	nM	R1	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_0nM_R1
Protein_126	15679	Intensity	10000	nM	R2	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_10000nM_R2
Protein_126	13721	Intensity	1000	nM	R2	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_1000nM_R2
Protein_126	13454	Intensity	0	nM	R2	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_0nM_R2
Protein_127	703.65	Intensity	10000	nM	R1	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_10000nM_R1
Protein_127	409.12	Intensity	1000	nM	R1	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_1000nM_R1
Protein_127	473.37	Intensity	0	nM	R1	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_0nM_R1
Protein_127	679.42	Intensity	10000	nM	R2	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_10000nM_R2
Protein_127	468.84	Intensity	1000	nM	R2	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_1000nM_R2
Protein_127	551.56	Intensity	0	nM	R2	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_0nM_R2
Protein_128	905.43	Intensity	10000	nM	R1	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_10000nM_R1
Protein_128	722.03	Intensity	1000	nM	R1	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_1000nM_R1
Protein_128	768.96	Intensity	0	nM	R1	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_0nM_R1
Protein_128	838.45	Intensity	10000	nM	R2	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_10000nM_R2
Protein_128	1049	Intensity	1000	nM	R2	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_1000nM_R2
Protein_128	599.73	Intensity	0	nM	R2	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_0nM_R2
Protein_129	5509.2	Intensity	10000	nM	R1	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_10000nM_R1
Protein_129	4747.7	Intensity	1000	nM	R1	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_1000nM_R1
Protein_129	5198.6	Intensity	0	nM	R1	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_0nM_R1
Protein_129	6450	Intensity	10000	nM	R2	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_10000nM_R2
Protein_129	5269.9	Intensity	1000	nM	R2	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_1000nM_R2
Protein_129	5473.5	Intensity	0	nM	R2	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_0nM_R2
Protein_130	6818.3	Intensity	10000	nM	R1	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_10000nM_R1
Protein_130	4754.7	Intensity	1000	nM	R1	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_1000nM_R1
Protein_130	5969.2	Intensity	0	nM	R1	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_0nM_R1
Protein_130	7487.7	Intensity	10000	nM	R2	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_10000nM_R2
Protein_130	7520.5	Intensity	1000	nM	R2	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_1000nM_R2
Protein_130	6061.7	Intensity	0	nM	R2	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_0nM_R2
Protein_131	364.35	Intensity	10000	nM	R1	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_10000nM_R1
Protein_131	211.58	Intensity	1000	nM	R1	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_1000nM_R1
Protein_131	207.42	Intensity	0	nM	R2	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_0nM_R2
Protein_132	352.98	Intensity	10000	nM	R1	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_10000nM_R1
Protein_132	282.96	Intensity	1000	nM	R1	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_1000nM_R1
Protein_132	58.71	Intensity	0	nM	R1	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_0nM_R1
Protein_132	307.53	Intensity	10000	nM	R2	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_10000nM_R2
Protein_132	139.13	Intensity	1000	nM	R2	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_1000nM_R2
Protein_132	179.85	Intensity	0	nM	R2	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_0nM_R2
Protein_133	2038.9	Intensity	10000	nM	R1	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_10000nM_R1
Protein_133	1023.4	Intensity	1000	nM	R1	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_1000nM_R1
Protein_133	1130	Intensity	0	nM	R1	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_0nM_R1
Protein_133	1909.4	Intensity	10000	nM	R2	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_10000nM_R2
Protein_133	1466.6	Intensity	1000	nM	R2	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_1000nM_R2
Protein_133	1081.3	Intensity	0	nM	R2	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_0nM_R2
Protein_134	889.45	Intensity	10000	nM	R1	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_10000nM_R1
Protein_134	363.92	Intensity	1000	nM	R1	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_1000nM_R1
Protein_134	490.48	Intensity	0	nM	R1	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_0nM_R1
Protein_134	1002.1	Intensity	10000	nM	R2	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_10000nM_R2
Protein_134	683.32	Intensity	1000	nM	R2	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_1000nM_R2
Protein_134	448.66	Intensity	0	nM	R2	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_0nM_R2
Protein_135	29254	Intensity	10000	nM	R1	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_10000nM_R1
Protein_135	16742	Intensity	1000	nM	R1	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_1000nM_R1
Protein_135	22954	Intensity	0	nM	R1	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_0nM_R1
Protein_135	29352	Intensity	10000	nM	R2	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_10000nM_R2
Protein_135	30821	Intensity	1000	nM	R2	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_1000nM_R2
Protein_135	22770	Intensity	0	nM	R2	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_0nM_R2
Protein_136	4707.1	Intensity	10000	nM	R1	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_10000nM_R1
Protein_136	3381.6	Intensity	1000	nM	R1	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_1000nM_R1
Protein_136	2897	Intensity	0	nM	R1	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_0nM_R1
Protein_136	4497.8	Intensity	10000	nM	R2	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_10000nM_R2
Protein_136	3776.2	Intensity	1000	nM	R2	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_1000nM_R2
Protein_136	2773.4	Intensity	0	nM	R2	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_0nM_R2
Protein_137	15713	Intensity	10000	nM	R1	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_10000nM_R1
Protein_137	9188.2	Intensity	1000	nM	R1	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_1000nM_R1
Protein_137	10782	Intensity	0	nM	R1	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_0nM_R1
Protein_137	15430	Intensity	10000	nM	R2	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_10000nM_R2
Protein_137	14971	Intensity	1000	nM	R2	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_1000nM_R2
Protein_137	10663	Intensity	0	nM	R2	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_0nM_R2
Protein_138	8311.1	Intensity	10000	nM	R1	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_10000nM_R1
Protein_138	8736.8	Intensity	1000	nM	R1	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_1000nM_R1
Protein_138	9404.3	Intensity	0	nM	R1	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_0nM_R1
Protein_138	7917.7	Intensity	10000	nM	R2	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_10000nM_R2
Protein_138	7922.1	Intensity	1000	nM	R2	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_1000nM_R2
Protein_138	8764.9	Intensity	0	nM	R2	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_0nM_R2
Protein_139	1091.3	Intensity	10000	nM	R1	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_10000nM_R1
Protein_139	410.65	Intensity	1000	nM	R1	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_1000nM_R1
Protein_139	766.48	Intensity	0	nM	R1	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_0nM_R1
Protein_139	909.32	Intensity	10000	nM	R2	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_10000nM_R2
Protein_139	918.67	Intensity	1000	nM	R2	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_1000nM_R2
Protein_139	681.14	Intensity	0	nM	R2	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_0nM_R2
Protein_140	762.11	Intensity	10000	nM	R1	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_10000nM_R1
Protein_140	133.66	Intensity	1000	nM	R1	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_1000nM_R1
Protein_140	251.15	Intensity	0	nM	R1	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_0nM_R1
Protein_140	634.96	Intensity	10000	nM	R2	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_10000nM_R2
Protein_140	704.08	Intensity	1000	nM	R2	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_1000nM_R2
Protein_140	237.83	Intensity	0	nM	R2	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_0nM_R2
Protein_141	51606	Intensity	10000	nM	R1	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_10000nM_R1
Protein_141	27122	Intensity	1000	nM	R1	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_1000nM_R1
Protein_141	33723	Intensity	0	nM	R1	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_0nM_R1
Protein_141	48257	Intensity	10000	nM	R2	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_10000nM_R2
Protein_141	40603	Intensity	1000	nM	R2	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_1000nM_R2
Protein_141	32035	Intensity	0	nM	R2	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_0nM_R2
Protein_142	713.97	Intensity	10000	nM	R1	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_10000nM_R1
Protein_142	508.44	Intensity	1000	nM	R1	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_1000nM_R1
Protein_142	432.86	Intensity	0	nM	R1	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_0nM_R1
Protein_142	942.33	Intensity	10000	nM	R2	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_10000nM_R2
Protein_142	409.36	Intensity	1000	nM	R2	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_1000nM_R2
Protein_142	445.91	Intensity	0	nM	R2	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_0nM_R2
Protein_143	1814.2	Intensity	10000	nM	R1	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_10000nM_R1
Protein_143	1709.7	Intensity	1000	nM	R1	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_1000nM_R1
Protein_143	1506.2	Intensity	0	nM	R1	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_0nM_R1
Protein_143	1819.2	Intensity	10000	nM	R2	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_10000nM_R2
Protein_143	1375.7	Intensity	1000	nM	R2	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_1000nM_R2
Protein_143	1351.9	Intensity	0	nM	R2	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_0nM_R2
Protein_144	21717	Intensity	10000	nM	R1	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_10000nM_R1
Protein_144	11836	Intensity	1000	nM	R1	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_1000nM_R1
Protein_144	13278	Intensity	0	nM	R1	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_0nM_R1
Protein_144	20319	Intensity	10000	nM	R2	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_10000nM_R2
Protein_144	15335	Intensity	1000	nM	R2	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_1000nM_R2
Protein_144	12345	Intensity	0	nM	R2	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_0nM_R2
Protein_145	220990	Intensity	10000	nM	R1	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_10000nM_R1
Protein_145	104760	Intensity	1000	nM	R1	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_1000nM_R1
Protein_145	128680	Intensity	0	nM	R1	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_0nM_R1
Protein_145	204290	Intensity	10000	nM	R2	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_10000nM_R2
Protein_145	177100	Intensity	1000	nM	R2	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_1000nM_R2
Protein_145	133540	Intensity	0	nM	R2	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_0nM_R2
Protein_146	14943	Intensity	10000	nM	R1	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_10000nM_R1
Protein_146	4583.7	Intensity	1000	nM	R1	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_1000nM_R1
Protein_146	5754.3	Intensity	0	nM	R1	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_0nM_R1
Protein_146	10847	Intensity	10000	nM	R2	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_10000nM_R2
Protein_146	9638.6	Intensity	1000	nM	R2	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_1000nM_R2
Protein_146	5339.5	Intensity	0	nM	R2	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_0nM_R2
Protein_147	18259	Intensity	10000	nM	R1	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_10000nM_R1
Protein_147	8990.7	Intensity	1000	nM	R1	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_1000nM_R1
Protein_147	9931.7	Intensity	0	nM	R1	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_0nM_R1
Protein_147	18038	Intensity	10000	nM	R2	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_10000nM_R2
Protein_147	14452	Intensity	1000	nM	R2	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_1000nM_R2
Protein_147	10576	Intensity	0	nM	R2	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_0nM_R2
Protein_148	27792	Intensity	10000	nM	R1	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_10000nM_R1
Protein_148	12557	Intensity	1000	nM	R1	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_1000nM_R1
Protein_148	18540	Intensity	0	nM	R1	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_0nM_R1
Protein_148	24832	Intensity	10000	nM	R2	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_10000nM_R2
Protein_148	20690	Intensity	1000	nM	R2	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_1000nM_R2
Protein_148	15975	Intensity	0	nM	R2	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_0nM_R2
Protein_149	49424	Intensity	10000	nM	R1	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_10000nM_R1
Protein_149	24706	Intensity	1000	nM	R1	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_1000nM_R1
Protein_149	32751	Intensity	0	nM	R1	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_0nM_R1
Protein_149	46049	Intensity	10000	nM	R2	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_10000nM_R2
Protein_149	36206	Intensity	1000	nM	R2	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_1000nM_R2
Protein_149	30377	Intensity	0	nM	R2	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_0nM_R2
Protein_150	127280	Intensity	10000	nM	R1	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_10000nM_R1
Protein_150	68232	Intensity	1000	nM	R1	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_1000nM_R1
Protein_150	84136	Intensity	0	nM	R1	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_0nM_R1
Protein_150	115670	Intensity	10000	nM	R2	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_10000nM_R2
Protein_150	104720	Intensity	1000	nM	R2	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_1000nM_R2
Protein_150	82726	Intensity	0	nM	R2	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_0nM_R2
Protein_151	3572.6	Intensity	10000	nM	R1	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_10000nM_R1
Protein_151	1903.3	Intensity	1000	nM	R1	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_1000nM_R1
Protein_151	2547.2	Intensity	0	nM	R1	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_0nM_R1
Protein_151	3967.1	Intensity	10000	nM	R2	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_10000nM_R2
Protein_151	2707.2	Intensity	1000	nM	R2	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_1000nM_R2
Protein_151	1782.2	Intensity	0	nM	R2	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_0nM_R2
Protein_152	11718	Intensity	10000	nM	R1	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_10000nM_R1
Protein_152	5397	Intensity	1000	nM	R1	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_1000nM_R1
Protein_152	4498.3	Intensity	0	nM	R1	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_0nM_R1
Protein_152	10379	Intensity	10000	nM	R2	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_10000nM_R2
Protein_152	5832.7	Intensity	1000	nM	R2	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_1000nM_R2
Protein_152	3734.3	Intensity	0	nM	R2	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_0nM_R2
Protein_153	25336	Intensity	10000	nM	R1	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_10000nM_R1
Protein_153	16395	Intensity	1000	nM	R1	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_1000nM_R1
Protein_153	18481	Intensity	0	nM	R1	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_0nM_R1
Protein_153	19562	Intensity	10000	nM	R2	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_10000nM_R2
Protein_153	16549	Intensity	1000	nM	R2	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_1000nM_R2
Protein_153	15438	Intensity	0	nM	R2	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_0nM_R2
Protein_154	48606	Intensity	10000	nM	R1	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_10000nM_R1
Protein_154	19230	Intensity	1000	nM	R1	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_1000nM_R1
Protein_154	29199	Intensity	0	nM	R1	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_0nM_R1
Protein_154	44099	Intensity	10000	nM	R2	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_10000nM_R2
Protein_154	33039	Intensity	1000	nM	R2	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_1000nM_R2
Protein_154	24728	Intensity	0	nM	R2	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_0nM_R2
Protein_155	682.27	Intensity	10000	nM	R1	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_10000nM_R1
Protein_155	415.03	Intensity	1000	nM	R1	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_1000nM_R1
Protein_155	331.42	Intensity	0	nM	R1	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_0nM_R1
Protein_155	693.43	Intensity	10000	nM	R2	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_10000nM_R2
Protein_155	603.55	Intensity	1000	nM	R2	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_1000nM_R2
Protein_155	358.38	Intensity	0	nM	R2	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_0nM_R2
Protein_156	47525	Intensity	10000	nM	R1	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_10000nM_R1
Protein_156	23359	Intensity	1000	nM	R1	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_1000nM_R1
Protein_156	28940	Intensity	0	nM	R1	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_0nM_R1
Protein_156	39582	Intensity	10000	nM	R2	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_10000nM_R2
Protein_156	34368	Intensity	1000	nM	R2	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_1000nM_R2
Protein_156	27641	Intensity	0	nM	R2	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_0nM_R2
Protein_157	422.56	Intensity	10000	nM	R1	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_10000nM_R1
Protein_157	385.04	Intensity	1000	nM	R1	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_1000nM_R1
Protein_157	490.72	Intensity	0	nM	R1	Project_1	Experiment_1	SampleGroup_1	SampleGroup_1_0nM_R1
