proteinID	Result_Value	Result_Type	Dose	DoseUnit	Repeat	Temperature	ProjectName	ExperimentName	SampleGroup	SampleName
Protein_2	2390.4	Intensity	1000	uM	R1	40	Project_1	Experiment_1	Inactive	Inactive_1000uM_R1
Protein_3	1347.7	Intensity	1000	uM	R1	70	Project_1	Experiment_1	Active	Active_1000uM_R1
Protein_3	2691.8	Intensity	1000	uM	R1	67.1	Project_1	Experiment_1	Active	Active_1000uM_R1
Protein_3	3158.4	Intensity	1000	uM	R1	64	Project_1	Experiment_1	Active	Active_1000uM_R1
Protein_3	7460.2	Intensity	1000	uM	R1	60.8	Project_1	Experiment_1	Active	Active_1000uM_R1
Protein_3	7253.4	Intensity	1000	uM	R1	56.8	Project_1	Experiment_1	Active	Active_1000uM_R1
Protein_3	19964	Intensity	1000	uM	R1	53.2	Project_1	Experiment_1	Active	Active_1000uM_R1
Protein_3	23110	Intensity	1000	uM	R1	49.6	Project_1	Experiment_1	Active	Active_1000uM_R1
Protein_3	19387	Intensity	1000	uM	R1	46	Project_1	Experiment_1	Active	Active_1000uM_R1
Protein_3	21222	Intensity	1000	uM	R1	42.9	Project_1	Experiment_1	Active	Active_1000uM_R1
Protein_3	24711	Intensity	1000	uM	R1	40	Project_1	Experiment_1	Active	Active_1000uM_R1
Protein_3	1970.9	Intensity	1000	uM	R2	70	Project_1	Experiment_1	Active	Active_1000uM_R2
Protein_3	2141.3	Intensity	1000	uM	R2	67.1	Project_1	Experiment_1	Active	Active_1000uM_R2
Protein_3	2458.8	Intensity	1000	uM	R2	64	Project_1	Experiment_1	Active	Active_1000uM_R2
Protein_3	2377.4	Intensity	1000	uM	R2	60.8	Project_1	Experiment_1	Active	Active_1000uM_R2
Protein_3	7367.2	Intensity	1000	uM	R2	56.8	Project_1	Experiment_1	Active	Active_1000uM_R2
Protein_3	12532	Intensity	1000	uM	R2	53.2	Project_1	Experiment_1	Active	Active_1000uM_R2
Protein_3	20718	Intensity	1000	uM	R2	49.6	Project_1	Experiment_1	Active	Active_1000uM_R2
Protein_3	24346	Intensity	1000	uM	R2	46	Project_1	Experiment_1	Active	Active_1000uM_R2
Protein_3	23427	Intensity	1000	uM	R2	42.9	Project_1	Experiment_1	Active	Active_1000uM_R2
Protein_3	25042	Intensity	1000	uM	R2	40	Project_1	Experiment_1	Active	Active_1000uM_R2
Protein_3	2271.4	Intensity	0	uM	R1	70	Project_1	Experiment_1	DMSO	DMSO_0uM_R1
Protein_3	1909.5	Intensity	0	uM	R1	67.1	Project_1	Experiment_1	DMSO	DMSO_0uM_R1
Protein_3	1704.9	Intensity	0	uM	R1	64	Project_1	Experiment_1	DMSO	DMSO_0uM_R1
Protein_3	1528.7	Intensity	0	uM	R1	60.8	Project_1	Experiment_1	DMSO	DMSO_0uM_R1
Protein_3	3311.2	Intensity	0	uM	R1	56.8	Project_1	Experiment_1	DMSO	DMSO_0uM_R1
Protein_3	12254	Intensity	0	uM	R1	53.2	Project_1	Experiment_1	DMSO	DMSO_0uM_R1
Protein_3	15695	Intensity	0	uM	R1	49.6	Project_1	Experiment_1	DMSO	DMSO_0uM_R1
Protein_3	16112	Intensity	0	uM	R1	46	Project_1	Experiment_1	DMSO	DMSO_0uM_R1
Protein_3	17438	Intensity	0	uM	R1	42.9	Project_1	Experiment_1	DMSO	DMSO_0uM_R1
Protein_3	12263	Intensity	0	uM	R1	40	Project_1	Experiment_1	DMSO	DMSO_0uM_R1
Protein_3	2567.2	Intensity	0	uM	R2	70	Project_1	Experiment_1	DMSO	DMSO_0uM_R2
Protein_3	3415.7	Intensity	0	uM	R2	67.1	Project_1	Experiment_1	DMSO	DMSO_0uM_R2
Protein_3	3515.2	Intensity	0	uM	R2	64	Project_1	Experiment_1	DMSO	DMSO_0uM_R2
Protein_3	2608.6	Intensity	0	uM	R2	60.8	Project_1	Experiment_1	DMSO	DMSO_0uM_R2
Protein_3	3908.8	Intensity	0	uM	R2	56.8	Project_1	Experiment_1	DMSO	DMSO_0uM_R2
Protein_3	10387	Intensity	0	uM	R2	53.2	Project_1	Experiment_1	DMSO	DMSO_0uM_R2
Protein_3	12574	Intensity	0	uM	R2	49.6	Project_1	Experiment_1	DMSO	DMSO_0uM_R2
Protein_3	19529	Intensity	0	uM	R2	46	Project_1	Experiment_1	DMSO	DMSO_0uM_R2
Protein_3	13506	Intensity	0	uM	R2	42.9	Project_1	Experiment_1	DMSO	DMSO_0uM_R2
Protein_3	21155	Intensity	0	uM	R2	40	Project_1	Experiment_1	DMSO	DMSO_0uM_R2
Protein_3	287.73	Intensity	1000	uM	R1	56.8	Project_1	Experiment_1	Inactive	Inactive_1000uM_R1
Protein_3	1153.1	Intensity	1000	uM	R1	53.2	Project_1	Experiment_1	Inactive	Inactive_1000uM_R1
Protein_3	1535.3	Intensity	1000	uM	R1	49.6	Project_1	Experiment_1	Inactive	Inactive_1000uM_R1
Protein_3	1918.8	Intensity	1000	uM	R1	46	Project_1	Experiment_1	Inactive	Inactive_1000uM_R1
Protein_3	1866.3	Intensity	1000	uM	R1	42.9	Project_1	Experiment_1	Inactive	Inactive_1000uM_R1
Protein_3	1198.1	Intensity	1000	uM	R1	40	Project_1	Experiment_1	Inactive	Inactive_1000uM_R1
Protein_3	298.53	Intensity	1000	uM	R2	70	Project_1	Experiment_1	Inactive	Inactive_1000uM_R2
Protein_3	566.51	Intensity	1000	uM	R2	67.1	Project_1	Experiment_1	Inactive	Inactive_1000uM_R2
